week,day,date_posted,platform,post_id,hook_version,pillar,angle,format,duration_seconds,destination_url,utm_source,utm_medium,utm_campaign,utm_content,views,avg_watch_time_seconds,avg_watch_percent,retention_2s_percent,completion_rate_percent,likes,comments,shares,saves,profile_visits,link_clicks,preview_starts,checkout_starts,purchases,preview_starts_per_1k_views,checkout_starts_per_1k_views,purchases_per_1k_views,winner_status,next_action,notes
1,1,2026-04-07,tiktok,VID-001,A,Moment Hook,Core Concept,Reel/TikTok,9,https://starmapco.com/star-map-gift,tiktok,organic_social,traffic_sprint_apr2026,VID-001-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),core-concept-date-plus-location
1,1,2026-04-07,tiktok,VID-002,A,Gift Angle,Anniversary,Reel/TikTok,8,https://starmapco.com/anniversary,tiktok,organic_social,traffic_sprint_apr2026,VID-002-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),anniversary-emotion-angle
1,1,2026-04-07,pinterest,PIN-101,A,Gift Angle,Anniversary,Static 2:3,0,https://starmapco.com/anniversary,pinterest,organic_social,traffic_sprint_apr2026,PIN-101-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),framed-anniversary-proof
1,1,2026-04-07,pinterest,PIN-102,A,Product Reveal,How It Works,Video 9:16,9,https://starmapco.com/star-map-generator,pinterest,organic_social,traffic_sprint_apr2026,PIN-102-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),date-location-to-map-sequence
1,4,2026-04-10,tiktok,VID-003,A,Gift Angle,POV Gift,Reel/TikTok,8,https://starmapco.com/star-map-gift,tiktok,organic_social,traffic_sprint_apr2026,VID-003-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),pov-stop-boring-gifts
1,3,2026-04-09,tiktok,VID-004,A,Gift Angle,Wedding,Reel/TikTok,8,https://starmapco.com/wedding,tiktok,organic_social,traffic_sprint_apr2026,VID-004-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),wedding-night-sky-angle
1,2,2026-04-08,pinterest,PIN-103,A,Gift Angle,Wedding,Static 2:3,0,https://starmapco.com/wedding,pinterest,organic_social,traffic_sprint_apr2026,PIN-103-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),wedding-framed-proof
1,2,2026-04-08,pinterest,PIN-104,A,Aesthetic,Style Showcase,Video 9:16,8,https://starmapco.com/personalized-star-map,pinterest,organic_social,traffic_sprint_apr2026,PIN-104-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),style-switch-1-2-3-4
1,2,2026-04-08,instagram,REF-201,A,Referral,Customer Share,Feed/Reel,12,https://starmapco.com/download,instagram,organic_social,traffic_sprint_apr2026,REF-201-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),share-your-link-reminder
1,2,2026-04-08,tiktok,VID-005,A,Product Reveal,Curiosity,Reel/TikTok,9,https://starmapco.com/star-map-gift,tiktok,organic_social,traffic_sprint_apr2026,VID-005-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),did-you-know-exact-stars
1,2,2026-04-08,tiktok,VID-006,A,Aesthetic,Style Showcase,Reel/TikTok,8,https://starmapco.com/personalized-star-map,tiktok,organic_social,traffic_sprint_apr2026,VID-006-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),which-style-would-you-choose
1,3,2026-04-09,pinterest,PIN-105,A,Gift Angle,Birthday,Static 2:3,0,https://starmapco.com/birthday,pinterest,organic_social,traffic_sprint_apr2026,PIN-105-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),birthday-keepsake-proof
1,3,2026-04-09,pinterest,PIN-106,A,Gift Angle,Last Minute Digital,Static 2:3,0,https://starmapco.com/star-map-generator,pinterest,organic_social,traffic_sprint_apr2026,PIN-106-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),instant-download-angle
1,3,2026-04-09,tiktok,VID-007,A,Moment Hook,Emotional,Reel/TikTok,8,https://starmapco.com/star-map-gift,tiktok,organic_social,traffic_sprint_apr2026,VID-007-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),the-night-our-life-changed
1,4,2026-04-10,tiktok,VID-008,A,Gift Angle,Family Moment,Reel/TikTok,9,https://starmapco.com/birthday,tiktok,organic_social,traffic_sprint_apr2026,VID-008-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,posted,fill metrics from native analytics (24h/72h),day-you-became-a-mom
